_date,total_clones,unique_clones
2021-07-26,3,3
2021-08-03,1,1
2021-08-05,1,1
2021-08-07,2,1
2021-08-08,1,1
2021-08-09,1,1
2021-08-15,1,1
2021-08-16,1,1
2021-08-22,1,1
2021-08-29,1,1
2021-08-30,1,1
2021-09-05,1,1
2021-09-06,1,1
2021-09-12,1,1
2021-09-13,1,1
2021-09-18,1,1
2021-09-19,1,1
2021-09-20,1,1
2021-09-26,1,1
2021-09-27,1,1
2021-10-03,1,1
2021-10-04,1,1
2021-10-10,1,1
2021-10-11,1,1
2021-10-17,1,1
2021-10-18,1,1
2021-10-20,3,1
2021-10-21,5,1
2021-10-22,53,2
2021-10-23,116,5
2021-10-24,35,4
2021-10-25,77,8
2021-10-26,20,2
2021-10-31,1,1
2021-11-01,1,1
2021-11-02,1,1
2021-11-07,1,1
2021-11-08,1,1
